Main Topic,Subtopic,Description,Code Snippets
Hashing,What is a Hash function?,"A   hash function   creates a mapping from an input key to an index in hash table, this is done through the use of mathematical formulas known as hash functions. For example:  Consider phone numbers as keys and a hash table of size 100. A simple example hash function can be to consider the last two digits of phone numbers so that we have valid array indexes as output. There are many hash functions that use numeric or alphanumeric keys. This article focuses on discussing   different hash functions   : A good hash function should have the following properties:",
Hashing,What is Collision?,"If we consider the above example, the hash function we used is the sum of the letters, but if we examined the hash function closely then the problem can be easily visualised that for different strings same hash value is being generated by the hash function. For example: {“ab”, “ba”} both have the same hash value, and string {“cd”,”be”} also generate the same hash value, etc. This is known as   collision   and it creates problem in searching, insertion, deletion, and updating of value. The probability of a hash collision depends on the size of the algorithm, the distribution of hash values and the efficiency of Hash function.",
Hashing,How to handle Collisions?,There are mainly two methods to handle collision:  Refer this to read in detail:  Collision Resolution Techniques . The   load factor   of the hash table can be defined as the number of items the hash table contains divided by the size of the hash table. Load factor is the decisive parameter that is used when we want to rehash the previous hash function or want to add more elements to the existing hash table. It helps us in determining the efficiency of the hash function i.e. it tells whether the hash function which we are using is distributing the keys uniformly or not in the hash table.,
Hashing,What is Rehashing?,"As the name suggests,   rehashing   means hashing again. Basically, when the load factor increases to more than its predefined value (the default value of the load factor is 0.75), the complexity increases. So to overcome this, the size of the array is increased (doubled) and all the values are hashed again and stored in the new double-sized array to maintain a low load factor and low complexity.",
Linked List,Understanding Node Structure,"In a singly linked list, each node consists of two parts: data and a pointer to the next node. This structure allows nodes to be dynamically linked together, forming a chain-like sequence. In this example, the Node class contains an integer data field ( data ) to store the information and a pointer to another Node ( next ) to establish the link to the next node in the list.","# Definition of a Node in a singly linked list
class Node:
    def __init__(self, data):
       # Data part of the node
        self.data = data   
        self.next = None"
Linked List,Operations on Singly Linked List,"Traversal Searching Length Insertion: Insert at the beginning Insert at the end Insert at a specific position Deletion: Delete from the beginning Delete from the end Delete a specific node Let's go through each of the operations mentioned above, one by one.",
Linked List,Traversal of Singly Linked List,"Traversal involves visiting each node in the linked list and performing some operation on the data. A simple traversal function would print or process the data of each node. Step-by-step approach: Initialize a pointer current to the head of the list. Use a while loop to iterate through the list until the current pointer reaches NULL. Inside the loop, print the data of the current node and move the current pointer to the next node. Below is the function for traversal in singly Linked List:","# Python Function to traverse and print the elements of the linked list
def traverse_linked_list(head):
    # Start from the head of the linked list
    current = head

    # Traverse the linked list until reaching the end (None)
    while current is not None:

        # Print the data of the current node followed by a space
        print(current.data),

        # Move to the next node
        current = current.next

    print()  # Print a new line after traversing the linked list"
Linked List,Searching in Singly Linked List,Searching in a Singly Linked List refers to the process of looking for a specific element or value within the elements of the linked list. Step-by-step approach: Below is the function for searching in singly linked list:,"# Python function to search for a value in the Linked List
def search_linked_list(head, target):

    # Traverse the Linked List
    while head is not None:

        # Check if the current node's data matches the target value
        if head.data == target:

            return True  # Value found
        # Move to the next node
        head = head.next

    return False  # Value not found"
Linked List,Length of Singly Linked List,"Finding Length in Singly Linked List refers to the process of determining the total number of nodes in a singly linked list. Step-by-step approach: Initialize a counter  length  to 0. Start from the head of the list, assign it to current. Traverse the list: Increment  length  for each node. Move to the next node ( current = current->next ). Return the final value of  length . Below is the function for finding length in Singly Linked List:","# Python function to find the length of the linked list
def find_length(head):
  
    # Initialize a counter for the length
    length = 0

    # Start from the head of the list
    current = head

    # Traverse the list and increment the length for each
    # node
    while current is not None:
        length += 1
        current = current.next

    # Return the final length of the linked list
    return length"
Linked List,Insertion in Singly Linked List,"Insertion is a fundamental operation in linked lists that involves adding a new node to the list. There are several scenarios for insertion: Step-by-step approach: Create a new node with the given value. Set the  next  pointer of the new node to the current head. Move the head to point to the new node. Return the new head of the linked list. Below is the function for insertion at the beginning of singly linked list: To insert a node at the end of the list, traverse the list until the last node is reached, and then link the new node to the current last node- Step-by-step approach: Create a new node with the given value. Check if the list is empty: If it is, make the new node the head and return. Traverse the list until the last node is reached. Link the new node to the current last node by setting the last node's next pointer to the new node. Below is the function for insertion at the end of singly linked list: To insert a node at a specific position, traverse the list to the desired position, link the new node to the next node, and update the links accordingly. We mainly find the node after which we need to insert the new node. If we encounter a NULL before reaching that node, it means that the given position is invalid. Below is the function for insertion at a specific position of the singly linked list:","# Python function to insert a new node at the beginning of the
# linked list
def insert_at_beginning(head, value):
  
    # Create a new node with the given value
    new_node = Node(value)

    # Set the next pointer of the new node to the current
    # head
    new_node.next = head

    # Move the head to point to the new node
    head = new_node

    # Return the new head of the linked list
    return head
# Python function to insert a node at the end of the linked
# list
def insert_at_end(head, value):
  
    # Create a new node with the given value
    new_node = Node(value)

    # If the list is empty, make the new node the head
    if head is None:
        return new_node

    # Traverse the list until the last node is reached
    current = head
    while current.next is not None:
        current = current.next

    # Link the new node to the current last node
    current.next = new_node

    return head
# Function to insert a node at a specified position
def insertPos(head, pos, data):
    if pos < 1:
        print(""Invalid position!"")
        return head

    # Special case for inserting at the head
    if pos == 1:
        new_node = Node(data)
        new_node.next = head
        return new_node

    # Traverse the list to find the node before 
    # the insertion point
    prev = head
    count = 1
    while count < pos - 1 and prev is not None:
        prev = prev.next
        count += 1

    # If position is greater than the number of nodes
    if prev is None:
        print(""Invalid position!"")
        return head

    # Insert the new node at the specified position
    new_node = Node(data)
    new_node.next = prev.next
    prev.next = new_node

    return head"
Linked List,Deletion in Singly Linked List,"Deletion involves removing a node from the linked list. Similar to insertion, there are different scenarios for deletion: To delete the first node, update the head to point to the second node in the list. Steps-by-step approach: Check if the head is  NULL . If it is, return  NULL  (the list is empty). Store the current head node in a temporary variable  temp . Move the head pointer to the next node. Delete the temporary node. Return the new head of the linked list. Below is the function for deletion at the beginning of singly linked list: To delete the last node, traverse the list until the second-to-last node and update its next field to None. Step-by-step approach: Check if the head is  NULL . If it is, return NULL (the list is empty). Check if the head's  next  is  NULL  (only one node in the list). If true, delete the head and return  NULL . Traverse the list to find the second last node ( second_last ). Delete the last node (the node after  second_last ). Set the  next  pointer of the second last node to  NULL . Return the head of the linked list. Below is the function for deletion at the end of singly linked list: To delete a node at a specific position, traverse the list to the desired position, update the links to bypass the node to be deleted. Step-by-step approach: Check if the list is empty or the position is invalid, return if so. If the head needs to be deleted, update the head and delete the node. Traverse to the node before the position to be deleted. If the position is out of range, return. Store the node to be deleted. Update the links to bypass the node. Delete the stored node. Below is the function for deletion at a specific position of singly linked list: ","# Python Function to remove the first node
# of the linked list
def removeFirstNode(head):
    if not head:
        return None
    temp = head

    # Move the head pointer to the next node
    head = head.next
    temp = None
    return head
# Python Function to remove the last node of the linked list
def removeLastNode(head):
    # If the list is empty, return None
    if head is None:
        return None

    # If the list has only one node, delete it and return None
    if head.next is None:
        head = None
        return None

    # Find the second last node
    second_last = head
    while second_last.next.next is not None:
        second_last = second_last.next

    # Remove the last node
    second_last.next = None

    # Return the modified list
    return head
# Python function to delete a node at a specific position
def delete_at_position(head, position):
    # If the list is empty or the position is invalid
    if head is None or position < 1:
        return head

    # If the head needs to be deleted
    if position == 1:
        temp = head
        head = head.next
        temp = None
        return head

    # Traverse to the node before the position to be deleted
    current = head
    for i in range(1, position - 1):
        if current is not None:
            current = current.next

    # If the position is out of range
    if current is None or current.next is None:
        return head

    # Store the node to be deleted
    temp = current.next

    # Update the links to bypass the node to be deleted
    current.next = current.next.next

    # Delete the node
    temp = None
    return head"
Linked List,What is a Doubly Linked List?,"A  doubly linked list  is a data structure that consists of a set of nodes, each of which contains a  value  and  two pointers , one pointing to the  previous node  in the list and one pointing to the  next node  in the list. This allows for efficient traversal of the list in  both directions , making it suitable for applications where frequent  insertions  and  deletions  are required.",
Linked List,Representation of Doubly Linked List in Data Structure,"In a data structure, a doubly linked list is represented using nodes that have three fields:",
Linked List,Node Definition,"Here is how a node in a Doubly Linked List is typically represented: Each node in a  Doubly Linked List  contains the  data  it holds, a pointer to the  next  node in the list, and a pointer to the  previous  node in the list. By linking these nodes together through the  next  and  prev  pointers, we can traverse the list in both directions (forward and backward), which is a key feature of a Doubly Linked List.","class Node:
  
    def __init__(self, data):
        # To store the value or data.
        self.data = data

        # Reference to the previous node
        self.prev = None

        # Reference to the next node
        self.next = None"
Linked List,Operations on Doubly Linked List,"Traversal in Doubly Linked List Searching in Doubly Linked List Finding Length of Doubly Linked List Insertion in Doubly Linked List : Insertion at the beginning of Doubly Linked List Insertion at the end of the Doubly Linked List Insertion at a specific position in Doubly Linked List Deletion in Doubly Linked List : Deletion of a node at the beginning of Doubly Linked List Deletion of a node at the end of Doubly Linked List Deletion of a node at a specific position in Doubly Linked List Let's go through each of the operations mentioned above, one by one.",
Linked List,Traversal in Doubly Linked List,"To Traverse the doubly list, we can use the following steps: a. Forward Traversal: Initialize a pointer to the head of the linked list. While the pointer is not null: Visit the data at the current node. Move the pointer to the next node. b. Backward Traversal: Initialize a pointer to the tail of the linked list. While the pointer is not null: Visit the data at the current node. Move the pointer to the previous node. Below are the implementation of the above approach:","# Define the Node class
class Node:
    def __init__(self, data):
        self.data = data
        self.prev = None
        self.next = None

# Function to traverse the doubly linked list 
# in forward direction
def forward_traversal(head):
  
    # Start traversal from the head of the list
    curr = head
    
    # Continue until the current node is 
    # null (end of the list)
    while curr is not None:
      
        # Output data of the current node
        print(curr.data, end="" "")
        
        # Move to the next node
        curr = curr.next
        
    # Print newline after traversal
    print()

# Function to traverse the doubly linked 
# list in backward direction
def backward_traversal(tail):
  
    # Start traversal from the tail of the list
    curr = tail
    
    # Continue until the current node 
    # is null (end of the list)
    while curr is not None:
      
        # Output data of the current node
        print(curr.data, end="" "")
        
        # Move to the previous node
        curr = curr.prev
        
    # Print newline after traversal
    print()

# Sample usage of the doubly linked list 
# and traversal functions
if __name__ == ""__main__"":
  
    # Create a doubly linked list with 3 nodes
    head = Node(1)
    second = Node(2)
    third = Node(3)

    head.next = second
    second.prev = head
    second.next = third
    third.prev = second

    print(""Forward Traversal:"")
    forward_traversal(head)

    print(""Backward Traversal:"")
    backward_traversal(third)"
Linked List,Finding Length of Doubly Linked List,"To find the length of doubly list, we can use the following steps: Start at the head of the list. Traverse through the list, counting each node visited. Return the total count of nodes as the length of the list. Below are the implementation of the above approach:","class Node:
    def __init__(self, val):
        self.data = val
        self.prev = None
        self.next = None

# Function to find the length of 
# a doubly linked list
def find_length(head):
    count = 0
    cur = head
    while cur is not None:
        count += 1
        cur = cur.next
    return count

# Driver code
if __name__ == ""__main__"":
  
    # Create a doubly linked list 
    # with 3 nodes
    head = Node(1)
    second = Node(2)
    third = Node(3)

    head.next = second
    second.prev = head
    second.next = third
    third.prev = second

    print(""Length of the doubly linked list: "" +
          str(find_length(head)))"
Linked List,Insertion at the Beginning in Doubly Linked List,"To insert a new node at the beginning of the doubly list, we can use the following steps: Create a new node, say  new_node  with the given data and set its previous pointer to null,  new_node->prev =   NULL . Set the next pointer of new_node to current head,  new_node->next = head. If the linked list is not empty, update the previous pointer of the current head to new_node,  head->prev = new_node . Return new_node as the head of the updated linked list. Below are the implementation of the above approach:","# Python Program to insert a node at the beginning 
#of doubly linked list

# Node structure for the doubly linked list
class Node:
    def __init__(self, data):
        self.data = data
        self.prev = None
        self.next = None

# Insert a node at the beginning
def insertBegin(head, data):
    
    # Create a new node
    new_node = Node(data)
    
    # Make next of it as head
    new_node.next = head
    
    # Set previous of head as new node
    if head is not None:
        head.prev = new_node
    
    # Return new node as new head
    return new_node

# Print the doubly linked list
def printList(head):
    curr = head
    while curr is not None:
        print(curr.data, end="" "")
        curr = curr.next
    print()

if __name__ == ""__main__"":
  
    # Create a hardcoded doubly linked list:
    # 2 <-> 3 <-> 4
    head = Node(2)
    head.next = Node(3)
    head.next.prev = head
    head.next.next = Node(4)
    head.next.next.prev = head.next

    # Print the original list
    print(""Original Linked List:"", end=' ')
    printList(head)

    # Insert a new node at the front of the list
    head = insertBegin(head, 1)

    # Print the updated list
    print(""After inserting Node 1 at the front:"", end=' ')
    printList(head)"
Linked List,Insertion at the End of Doubly Linked List,"To insert a new node at the end of the doubly linked list, we can use the following steps: Allocate memory for a new node and assign the provided value to its data field. Initialize the next pointer of the new node to nullptr. If the list is empty: Set the previous pointer of the new node to nullptr. Update the head pointer to point to the new node. If the list is not empty: Traverse the list starting from the head to reach the last node. Set the next pointer of the last node to point to the new node. Set the previous pointer of the new node to point to the last node. Below are the implementation of the above approach:","# Python Program to insert a node at the end of 
#doubly linked list

class Node:
    def __init__(self, data):
        self.data = data
        self.next = None
        self.prev = None

# Function to insert a new node at the end of the 
#doubly linked list
def insert_end(head, new_data):
      
    # Create a new node
    new_node = Node(new_data)
    
    # If the linked list is empty, set the new node
    #as the head
    if head is None:
        head = new_node
    else:
        curr = head
        while curr.next is not None:
            curr = curr.next
        
        # Set the next of the last node to the new node
        curr.next = new_node
        
        # Set the prev of the new node to the last node
        new_node.prev = curr
    
    return head

def print_list(head):
    curr = head
    while curr is not None:
        print(curr.data, end="" "")
        curr = curr.next
    print()

if __name__ == ""__main__"":
  
    # Create a hardcoded doubly linked list:
    # 1 <-> 2 <-> 3
    head = Node(1)
    head.next = Node(2)
    head.next.prev = head
    head.next.next = Node(3)
    head.next.next.prev = head.next

    # Print the original list
    print(""Original Linked List: "", end="""")
    print_list(head)

    # Insert a new node with data 4 at the end
    print(""Inserting Node with data 4 at the end: "", end="""")
    data = 4
    head = insert_end(head, data)

    # Print the updated list
    print_list(head)"
Linked List,Insertion at a Specific Position in Doubly Linked List,"To insert a node at a specific Position in doubly linked list, we can use the following steps: To insert a new node at a specific position, If position = 1, create a new node and make it the head of the linked list and return it. Otherwise, traverse the list to reach the node at position – 1, say  curr . If the position is valid, create a new node with given data, say  new_node . Update the next pointer of new node to the next of current node and prev pointer of new node to current node,  new_node->next = curr->next  and  new_node->prev = curr. Similarly, update next pointer of current node to the   new node,  curr->next = new_node . If the new node is not the last node, update prev pointer of new node’s next to the new node,  new_node->next->prev = new_node. Below is the implementation of the above approach:","# Python Program to insert a node at a given position

class Node:
    def __init__(self, new_data):
        self.data = new_data
        self.next = None
        self.prev = None

def insert_at_position(head, pos, new_data):
  
    # Create a new node
    new_node = Node(new_data)

    # Insertion at the beginning
    if pos == 1:
        new_node.next = head

        # If the linked list is not empty, set the
        #prev of head to new node
        if head is not None:
            head.prev = new_node

        # Set the new node as the head of the linked list
        head = new_node
        return head

    curr = head
    
    # Traverse the list to find the node before the 
    #insertion point
    for _ in range(1, pos - 1):
        if curr is None:
            print(""Position is out of bounds."")
            return head
        curr = curr.next

    # If the position is out of bounds
    if curr is None:
        print(""Position is out of bounds."")
        return head

    # Set the prev of new node to curr
    new_node.prev = curr

    # Set the next of new node to next of curr
    new_node.next = curr.next

    # Update the next of current node to new node
    curr.next = new_node

    # If the new node is not the last node, update 
    #prev of next node to new node
    if new_node.next is not None:
        new_node.next.prev = new_node

    return head

def print_list(head):
    curr = head
    while curr is not None:
        print(curr.data, end="" "")
        curr = curr.next
    print()

if __name__ == ""__main__"":
  
    # Create a hardcoded doubly linked list:
    # 1 <-> 2 <-> 4
    head = Node(1)
    head.next = Node(2)
    head.next.prev = head
    head.next.next = Node(4)
    head.next.next.prev = head.next

    # Print the original list
    print(""Original Linked List: "", end="""")
    print_list(head)

    # Insert new node with data 3 at position 3
    print(""Inserting Node with data 3 at position 3: "", end="""")
    data = 3
    pos = 3
    head = insert_at_position(head, pos, data)

    # Print the updated list
    print_list(head)"
Linked List,Deletion at the Beginning of Doubly Linked List,"To delete a node at the beginning in doubly linked list, we can use the following steps: Check if the list is empty, there is nothing to delete. Return. Store the head pointer in a variable, say  temp . Update the head of linked list to the node next to the current head,  head = head->next . If the new head is not NULL, update the previous pointer of new head to NULL,  head->prev = NULL . Below is the implementation of the above approach:","# Python Program to delete a node from the 
# beginning of Doubly Linked List

class Node:
    def __init__(self, data):
        self.data = data
        self.prev = None
        self.next = None

# Function to delete the first node (head) of the list
# and return the second node as the new head
def del_head(head):
  
    # If empty, return None
    if head is None:
        return None

    # Store in temp for deletion later
    temp = head

    # Move head to the next node
    head = head.next

    # Set prev of the new head
    if head is not None:
        head.prev = None

    # Return new head
    return head

def print_list(head):
    curr = head
    while curr is not None:
        print(curr.data, end="" "")
        curr = curr.next
    print()
    

if __name__ == ""__main__"":
  
	# Create a hardcoded doubly linked list:
    # 1 <-> 2 <-> 3
    head = Node(1)
    head.next = Node(2)
    head.next.prev = head
    head.next.next = Node(3)
    head.next.next.prev = head.next

    print(""Original Linked List: "", end="""")
    print_list(head)

    print(""After Deletion at the beginning: "", end="""")
    head = del_head(head)

    print_list(head)"
Linked List,Deletion at the End of Doubly Linked List,"To delete a node at the end in doubly linked list, we can use the following steps: Check if the doubly linked list is empty. If it is empty, then there is nothing to delete. If the list is not empty, then move to the last node of the doubly linked list, say  curr . Update the second-to-last node's next pointer to NULL,  curr->prev->next = NULL . Free the memory allocated for the node that was deleted. Below is the implementation of the above approach:","# Python Program to delete a node from the end of 
#Doubly Linked List

class Node:
    def __init__(self, data):
        self.data = data
        self.prev = None
        self.next = None

def del_last(head):
  
    # Corner cases
    if head is None:
        return None
    if head.next is None:
        return None

    # Traverse to the last node
    curr = head
    while curr.next is not None:
        curr = curr.next

    # Update the previous node's next pointer
    if curr.prev is not None:
        curr.prev.next = None

    # Return the updated head
    return head

def print_list(head):
    curr = head
    while curr is not None:
        print(curr.data, end="" "")
        curr = curr.next
    print()

if __name__ == ""__main__"":
  
    # Create a hardcoded doubly linked list:
    # 1 <-> 2 <-> 3
    head = Node(1)
    head.next = Node(2)
    head.next.prev = head
    head.next.next = Node(3)
    head.next.next.prev = head.next

    print(""Original Linked List: "", end="""")
    print_list(head)

    print(""After Deletion at the end: "", end="""")
    head = del_last(head)

    print_list(head)"
Linked List,Deletion at a Specific Position in Doubly Linked List,"To delete a node at a specific position in doubly linked list, we can use the following steps: Traverse to the node at the specified position, say  curr . If the position is valid, adjust the pointers to skip the node to be deleted. If curr is not the head of the linked list, update the next pointer of the node before curr to point to the node after curr,  curr->prev->next = curr-next . If curr is not the last node of the linked list, update the previous pointer of the node after curr to the node before curr,  curr->next->prev = curr->prev . Free the memory allocated for the deleted node. Below is the implementation of the above approach:","# Python Program to delete node at a specific position
#in Doubly Linked List


class Node:
    def __init__(self, data):
        self.data = data
        self.prev = None
        self.next = None


# Function to delete a node at a specific position 
#in the doubly linked list
def del_pos(head, pos):
    # If the list is empty
    if head is None:
        return head

    curr = head

    # Traverse to the node at the given position
    for i in range(1, pos):
        if curr is None:
            return head
        curr = curr.next

    # If the position is out of range
    if curr is None:
        return head

    # Update the previous node's next pointer
    if curr.prev is not None:
        curr.prev.next = curr.next

    # Update the next node's prev pointer
    if curr.next is not None:
        curr.next.prev = curr.prev

    # If the node to be deleted is the head node
    if head == curr:
        head = curr.next

    # Return the updated head
    return head


def print_list(head):
    curr = head
    while curr is not None:
        print(curr.data, end="" "")
        curr = curr.next
    print()


if __name__ == ""__main__"":
  
    # Create a hardcoded doubly linked list:
    # 1 <-> 2 <-> 3
    head = Node(1)
    head.next = Node(2)
    head.next.prev = head
    head.next.next = Node(3)
    head.next.next.prev = head.next

    print(""Original Linked List: "", end="""")
    print_list(head)

    print(""After Deletion at the position 2: "", end="""")
    head = del_pos(head, 2)

    print_list(head)"
Linked List,Advantages of Doubly Linked List,"Efficient traversal in both directions:  Doubly linked lists allow for efficient traversal of the list in both directions, making it suitable for applications where frequent insertions and deletions are required. Easy insertion and deletion of nodes:  The presence of pointers to both the previous and next nodes makes it easy to insert or delete nodes from the list, without having to traverse the entire list. Can be used to implement a stack or queue:  Doubly linked lists can be used to implement both stacks and queues, which are common data structures used in programming.",
Linked List,Disadvantages of Doubly Linked List,"More complex than singly linked lists:  Doubly linked lists are more complex than singly linked lists, as they require additional pointers for each node. More memory overhead:  Doubly linked lists require more memory overhead than singly linked lists, as each node stores two pointers instead of one.",
Linked List,Applications of Doubly Linked List,Implementation of undo and redo functionality in text editors. Cache implementation where quick insertion and deletion of elements are required. Browser history management to navigate back and forth between visited pages. Music player applications to manage playlists and navigate through songs efficiently. Implementing data structures like  Deque  (double-ended queue) for efficient insertion and deletion at both ends. Practice Questions on Doubly Linked List MCQs on Linked List,
Linked List,What is a Circular Linked List?,"A  circular linked list  is a special type of linked list where all the nodes are connected to form a circle. Unlike a regular linked list, which ends with a node pointing to  NULL , the last node in a circular linked list points back to the first node. This means that you can keep traversing the list without ever reaching a  NULL  value.",
Linked List,Types of Circular Linked Lists,"We can create a circular linked list from both  singly linked lists  and  doubly linked lists . So, circular linked list are basically of two types: In  Circular Singly Linked List , each node has just one pointer called the “ next ” pointer. The next pointer of  last node  points back to the  first node  and this results in forming a circle. In this type of Linked list we can only move through the list in one direction. In  circular doubly linked   list,  each node has two pointers  prev  and  next,  similar to doubly linked list. The  prev  pointer points to the previous node and the  next  points to the next node. Here, in addition to the  last  node storing the address of the first node, the  first node  will also store the address of the  last node . Note:  In this article, we will use the circular singly linked list to explain the working of circular linked lists.",
Linked List,Representation of a Circular Singly Linked List,"Let’s take a look on the structure of a circular linked list. Syntax to Declare a Circular Linked List in Different Languages: In the code above, each node has  data  and a  pointer  to the next node. When we create multiple nodes for a circular linked list, we only need to connect the last node back to the first one.","class Node:
    def __init__(self, data):
        self.data = data
        self.next = None"
Linked List,Example of Creating a Circular Linked List,"Here’s an example of creating a circular linked list with three nodes (2, 3, 4): In the above code, we have created three nodes  first, second,  and  last  having values  2, 3,  and  4  respectively. After creating three nodes, we have connected these node in a series. Connect the first node “ first”  to “ second”  node by  s toring the address of “ second”  node   into  first’s  next Connect the second node “ second”  to “ second”  node by  s toring the address of “ third ” node into  second’s  next After connecting all the nodes, we reach the key characteristic of a circular linked list:  linking the last node back to the first node . Therefore, we store the address of the “ first ” node in the “ last ” node. For the insertion of a node at the beginning, we need to traverse the whole list. Also, for insertion at the end, the whole list has to be traversed. If instead of the start pointer, we take a pointer to the last node, then in both cases there won’t be any need to traverse the whole list. So insertion at the beginning or at the end takes constant time, irrespective of the length of the list.","# Initilize and allocate memory for nodes
first = Node(2)
second = Node(3)
last = Node(4)

# Connect nodes
first.next = second
second.next = last
last.next = first"
